Recall,Precision
1.0,0.2212222222222222
1.0,0.22124680520057785
1.0,0.22127139364303178
1.0,0.22129598755140603
1.0,0.22132058692752335
1.0,0.22134519177320733
0.9994977398292315,0.22125861685568157
0.9994977398292315,0.2212832202824419
0.9989954796584631,0.22119661921708186
0.9989954796584631,0.22122122122122123
0.9989954796584631,0.22124582869855394
0.9989954796584631,0.22127044165090667
0.9984932194876946,0.22118380062305296
0.9984932194876946,0.2212084121508846
0.9984932194876946,0.22123302915646562
0.9984932194876946,0.22125765164162492
0.9984932194876946,0.22128227960819233
0.9984932194876946,0.22130691305799843
0.9984932194876946,0.22133155199287463
0.9984932194876946,0.22135619641465315
0.9984932194876946,0.22138084632516702
0.9984932194876946,0.22140550172625015
0.9984932194876946,0.22143016261973714
0.9984932194876946,0.22145482900746352
0.9984932194876946,0.22147950089126558
0.9984932194876946,0.2215041782729805
0.9984932194876946,0.22152886115444617
0.9984932194876946,0.2215535495375014
0.9984932194876946,0.22157824342398574
0.9984932194876946,0.2216029428157396
0.9984932194876946,0.22162764771460425
0.9984932194876946,0.22165235812242168
0.9984932194876946,0.2216770740410348
0.9984932194876946,0.22170179547228727
0.9984932194876946,0.22172652241802365
0.9984932194876946,0.22175125488008923
0.9984932194876946,0.2217759928603302
0.9984932194876946,0.22180073636059355
0.9984932194876946,0.22182548538272706
0.9984932194876946,0.2218502399285794
0.9984932194876946,0.221875
0.9984932194876946,0.22189976559883914
0.9984932194876946,0.22192453672694798
0.9984932194876946,0.2219493133861784
0.9984932194876946,0.2219740955783832
0.9984932194876946,0.22199888330541598
0.9984932194876946,0.2220236765691311
0.9984932194876946,0.2220484753713839
0.9984932194876946,0.22207327971403037
0.9984932194876946,0.2220980895989275
0.9984932194876946,0.22212290502793297
0.9984932194876946,0.22214772600290536
0.9984932194876946,0.22217255252570406
0.9979909593169262,0.22208561529004137
0.9974886991461577,0.22199865861837692
0.9974886991461577,0.22202347680268306
0.9974886991461577,0.22204830053667263
0.9974886991461577,0.2220731298222073
0.9974886991461577,0.22209796466114964
0.9974886991461577,0.22212280505536294
0.9974886991461577,0.2221476510067114
0.9974886991461577,0.22217250251706008
0.9974886991461577,0.22219735958827477
0.9974886991461577,0.2222222222222222
0.9974886991461577,0.22224709042076993
0.9974886991461577,0.22227196418578624
0.9974886991461577,0.22229684351914036
0.9974886991461577,0.22232172842270234
0.9969864389753893,0.22223466188983432
0.9969864389753893,0.2222595454036502
0.9969864389753893,0.22228443449048152
0.9969864389753893,0.2223093291522007
0.9969864389753893,0.222334229390681
0.9969864389753893,0.22235913520779657
0.9969864389753893,0.22238404660542235
0.9969864389753893,0.22240896358543416
0.9969864389753893,0.22243388614970866
0.9969864389753893,0.22245881430012326
0.9969864389753893,0.2224837480385564
0.9969864389753893,0.22250868736688711
0.9969864389753893,0.22253363228699552
0.9969864389753893,0.2225585828007624
0.9969864389753893,0.22258353891006952
0.9969864389753893,0.22260850061679938
0.9969864389753893,0.22263346792283537
0.9969864389753893,0.2226584408300617
0.9969864389753893,0.22268341934036348
0.9969864389753893,0.22270840345562662
0.9969864389753893,0.22273339317773788
0.9969864389753893,0.2227583885085849
0.9969864389753893,0.22278338945005613
0.9969864389753893,0.22280839600404087
0.9969864389753893,0.22283340817242928
0.9969864389753893,0.2228584259571124
0.9969864389753893,0.22288344935998203
0.9969864389753893,0.22290847838293093
0.9969864389753893,0.22293351302785264
0.9969864389753893,0.22295855329664158
0.9969864389753893,0.22298359919119298
0.9969864389753893,0.22300865071340298
0.9969864389753893,0.22303370786516855
0.9969864389753893,0.22305877064838747
0.9969864389753893,0.2230838390649584
0.9969864389753893,0.22310891311678094
0.9969864389753893,0.22313399280575538
0.9969864389753893,0.22315907813378302
0.9969864389753893,0.22318416910276592
0.9964841788046208,0.22309681772180368
0.9964841788046208,0.22312190733243364
0.9964841788046208,0.2231470025868856
0.9964841788046208,0.22317210348706412
0.9964841788046208,0.22319721003487455
0.9964841788046208,0.2232223222322232
0.9964841788046208,0.2232474400810172
0.9964841788046208,0.22327256358316452
0.9964841788046208,0.223297692740574
0.9964841788046208,0.22332282755515534
0.9959819186338523,0.2232353934481594
0.9954796584630838,0.22314793965323126
0.9954796584630838,0.22317306609616033
0.9954796584630838,0.2231981981981982
0.9954796584630838,0.2232233359612569
0.9954796584630838,0.22324847938724937
0.9954796584630838,0.22327362847808943
0.9954796584630838,0.22329878323569174
0.9954796584630838,0.22332394366197184
0.9954796584630838,0.22334910975884606
0.9954796584630838,0.22337428152823172
0.9954796584630838,0.22339945897204688
0.9954796584630838,0.22342464209221058
0.9954796584630838,0.2234498308906426
0.9954796584630838,0.22347502536926372
0.9954796584630838,0.2235002255299955
0.9954796584630838,0.22352543137476036
