Feature,Mean_Abs_SHAP
MARRIAGE,0.3571422
PAY_0,0.34018815
LIMIT_BAL,0.32677785
SEX,0.29395407
BILL_AMT1,0.27516854
PAY_2,0.23090997
PAY_AMT1,0.22025965
EDUCATION,0.21972798
BILL_AMT5,0.1789711
PAY_AMT2,0.17400791
PAY_AMT3,0.17211212
PAY_AMT6,0.16600777
PAY_AMT4,0.15786214
PAY_AMT5,0.14510569
PAY_3,0.12816074
AGE,0.11546536
BILL_AMT4,0.10823627
PAY_4,0.10805062
BILL_AMT2,0.10722638
BILL_AMT3,0.08789488
BILL_AMT6,0.08641262
PAY_6,0.07982028
PAY_5,0.07580861
