Recall,Precision
1.0,0.2212222222222222
1.0,0.2216902349404298
0.9984932194876946,0.2225705329153605
0.9984932194876946,0.22259545403650208
0.9969864389753893,0.22401534815483579
0.9949773982923155,0.22557503985424732
0.9919638372677047,0.2276132303791633
0.987945755901557,0.22978971962616823
0.987945755901557,0.22981656735599953
0.9844299347061778,0.2328344024708957
0.9844299347061778,0.23286206486871808
0.9779005524861878,0.2351733301123324
0.9668508287292817,0.23806579272817216
0.9588146659969864,0.24091367995961635
0.9588146659969864,0.24094408683579452
0.9542943244600703,0.24481381265300864
0.945253641386238,0.24874438276500133
0.9382219989954796,0.252739818698417
0.9377197388247112,0.25263870094722596
0.9326971371170266,0.25663349917081263
0.9326971371170266,0.25666897028334484
0.9231541938724259,0.26212207644038793
0.9226519337016574,0.2620168306946227
0.9226519337016574,0.2620542082738944
0.9226519337016574,0.26209159651876157
0.9090909090909091,0.2669616519174041
0.8985434455047715,0.2724642095644228
0.898041185334003,0.27235338918507235
0.898041185334003,0.27239488117001825
0.8849824208940231,0.2776114699858201
0.8704168759417378,0.2820179007323027
0.8704168759417378,0.2820638020833333
0.856353591160221,0.2879094900371496
0.8437970868910095,0.2934497816593886
0.8437970868910095,0.29350104821802936
0.8317428427925665,0.30092676721788114
0.8317428427925665,0.3009814612868048
0.8196885986941236,0.3071710897797854
0.8046207935710699,0.3132577238951897
0.8046207935710699,0.31331899080774495
0.8046207935710699,0.31338028169014087
0.7925665494726268,0.320666531192847
0.77850326469111,0.3279035328961286
0.77850326469111,0.327972915785019
0.7634354595680563,0.3345806735637244
0.7634354595680563,0.33465433729634525
0.7634354595680563,0.33472803347280333
0.7634354595680563,0.33480176211453744
0.7498744349573079,0.3407120036513008
0.7493721747865394,0.3405615156356996
0.7493721747865394,0.3406392694063927
0.7353088900050226,0.34585400425230334
0.7348066298342542,0.3456994328922495
0.7207433450527373,0.3525798525798526
0.7086891009542943,0.36114665984131045
0.6976393771973882,0.3703012529992002
0.6976393771973882,0.3704
0.6971371170266197,0.3702320618831689
0.6971371170266197,0.3703308431163287
0.6891009542943245,0.37900552486187844
0.688598694123556,0.37883393202542137
