Model,Precision,Recall,F1-Score,MCC
Logistic Regression,0.3492439964423362,0.5916624811652436,0.43922445935868754,0.23879894519379674
Random Forest,0.5132978723404256,0.48468106479156203,0.4985791785068458,0.3615872674522576
XGBoost,0.4784333168071393,0.48468106479156203,0.4815369261477046,0.33304312664709185
